  UID   PID  PPID   C STIME   TTY           TIME CMD
    0   256     1   0  9:11PM ??         0:00.56 /System/Library/CoreServices/backupd.bundle/Contents/Resources/backupd
  401   258    81   0  9:11PM ??         0:00.15 /Applications/Panopto.app/Contents/Resources/UploadDaemon -l info
    0   263     1   0  9:11PM ??         0:01.60 /System/Library/CoreServices/SubmitDiagInfo server-init
  242   270     1   0  9:11PM ??         0:00.16 /usr/sbin/distnoted agent
  200   273     1   0  9:11PM ??         0:00.16 /usr/sbin/distnoted agent
    0   274     1   0  9:11PM ??         0:00.14 /System/Library/CoreServices/Software Update.app/Contents/Resources/suhelperd
    0   276     1   0  9:11PM ??         0:00.86 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/ATS.framework/Versions/A/Support/fontworker
    0   279     1   0  9:11PM ??         0:00.19 /usr/libexec/wifianalyticsd
  270   280     1   0  9:11PM ??         0:00.11 /System/Library/DriverExtensions/com.apple.AppleUserHIDDrivers.dext/com.apple.AppleUserHIDDrivers com.apple.driverkit.AppleUserUSBHostHIDDevice0 0x100000509
  270   288     1   0  9:11PM ??         0:00.14 /System/Library/DriverExtensions/com.apple.AppleUserHIDDrivers.dext/com.apple.AppleUserHIDDrivers com.apple.driverkit.AppleUserUSBHostHIDDevice0 0x10000052d
  270   291     1   0  9:11PM ??         0:00.03 /System/Library/DriverExtensions/com.apple.AppleUserHIDDrivers.dext/com.apple.AppleUserHIDDrivers com.apple.driverkit.AppleUserUSBHostHIDDevice0 0x100000535
    0   294     1   0  9:11PM ??         0:01.12 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/com.apple.CodeSigningHelper.xpc/Contents/MacOS/com.apple.CodeSigningHelper
  270   295     1   0  9:11PM ??         0:00.06 /System/Library/DriverExtensions/com.apple.AppleUserHIDDrivers.dext/com.apple.AppleUserHIDDrivers com.apple.driverkit.AppleUserHIDEventDriver.dfrv2 0x100000580
  270   297     1   0  9:11PM ??         0:00.01 /System/Library/DriverExtensions/com.apple.AppleUserHIDDrivers.dext/com.apple.AppleUserHIDDrivers com.apple.driverkit.AppleUserHIDEventDriver 0x100000585
    0   298     1   0  9:11PM ??         2:28.50 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mds_stores
   89   299     1   0  9:11PM ??         0:00.20 /usr/sbin/distnoted agent
    0   301     1   0  9:11PM ??         0:00.11 /usr/libexec/thermald
   88   305     1   0  9:11PM ??         0:00.15 /usr/sbin/distnoted agent
    0   308     1   0  9:11PM ??         0:00.16 /usr/libexec/biokitaggdd
    0   313     1   0  9:11PM ??         1:46.35 /usr/libexec/TouchBarServer
   55   325     1   0  9:11PM ??         0:01.18 /System/Library/CoreServices/appleeventsd --server
    0   330    75   0  9:11PM ??         0:00.30 /usr/sbin/systemstats --logger-helper /private/var/db/systemstats
   55   345     1   0  9:11PM ??         0:00.15 /usr/sbin/distnoted agent
    0   348     1   0  9:11PM ??         0:00.76 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
    0   349     1   0  9:11PM ??         0:00.04 /usr/libexec/securityd_service
  501   351     1   0  9:11PM ??         0:15.25 /usr/sbin/distnoted agent
  501   352     1   0  9:11PM ??         0:11.70 /usr/sbin/cfprefsd agent
  501   353     1   0  9:11PM ??         0:20.95 /usr/libexec/UserEventAgent (Aqua)
  501   358     1   0  9:11PM ??         0:06.64 /usr/libexec/lsd
  501   359     1   0  9:11PM ??         0:17.86 /usr/libexec/secd
  501   360     1   0  9:11PM ??         0:02.66 /System/Library/Frameworks/CoreTelephony.framework/Support/CommCenter -L
  501   361     1   0  9:11PM ??         7:37.19 /Applications/Safari.app/Contents/MacOS/Safari
  501   363     1   0  9:11PM ??         0:00.80 /System/Library/CoreServices/sharedfilelistd
  501   365     1   0  9:11PM ??         0:00.31 /System/Library/CoreServices/backgroundtaskmanagementagent
  501   366     1   0  9:11PM ??         0:10.51 /usr/libexec/nsurlsessiond
  501   367     1   0  9:11PM ??         0:04.46 /usr/libexec/rapportd
  501   368     1   0  9:11PM ??         0:05.55 /System/Library/CoreServices/lockoutagent
  501   369     1   0  9:11PM ??         0:29.34 /usr/libexec/trustd --agent
  501   370     1   0  9:11PM ??         0:58.91 /usr/libexec/routined LAUNCHED_BY_LAUNCHD
  501   371     1   0  9:11PM ??         0:08.89 /System/Library/CoreServices/ControlStrip.app/Contents/MacOS/ControlStrip
  501   372     1   0  9:11PM ??         0:01.63 /usr/sbin/usernoted
  501   375     1   0  9:11PM ??         0:09.21 /System/Library/PrivateFrameworks/ScreenTimeCore.framework/Versions/A/ScreenTimeAgent
  501   376     1   0  9:11PM ??         0:03.48 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/HIServices.framework/Versions/A/XPCServices/com.apple.hiservices-xpcservice.xpc/Contents/MacOS/com.apple.hiservices-xpcservice
  501   377     1   0  9:11PM ??         0:03.60 /usr/libexec/containermanagerd --runmode=agent --bundle-container-mode=global --bundle-container-owner=_appinstalld --system-container-mode=none
  501   378     1   0  9:11PM ??         0:05.32 /System/Library/PrivateFrameworks/IDS.framework/identityservicesd.app/Contents/MacOS/identityservicesd
  501   382     1   0  9:11PM ??         0:02.82 /System/Library/PrivateFrameworks/iTunesCloud.framework/Support/itunescloudd
  501   383     1   0  9:11PM ??         0:12.07 /System/Library/PrivateFrameworks/CalendarAgent.framework/Executables/CalendarAgent
  501   386     1   0  9:11PM ??         0:21.23 /System/Library/PrivateFrameworks/CloudKitDaemon.framework/Support/cloudd
  501   387     1   0  9:11PM ??         0:10.17 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/ATS.framework/Support/fontd
  501   390     1   0  9:11PM ??         0:00.83 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/ATS.framework/Versions/A/Support/fontworker
  501   392     1   0  9:11PM ??         0:12.92 /System/Library/Frameworks/Accounts.framework/Versions/A/Support/accountsd
  501   393     1   0  9:11PM ??         0:14.03 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/ContextStoreAgent
  501   394     1   0  9:11PM ??         0:17.32 /System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAgent
  501   395     1   0  9:11PM ??         0:06.68 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/corespotlightd
